	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	190	222.806	0	-0.0145481	3.29795	0.238859	(-122.445,-131.693,170.257)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-0.600226	0.118756	0	0	0	1	5	BN
-0.600226	0.118756	6.28747	0.0878567	-0.0386963	0.995381	4.96679	BN
0.283888	-0.27065	16.3041	0.0674062	-0.0707203	0.997142	4.91337	BN
0.454175	-0.44931	18.8232	0.0194755	-0.380272	0.869858	4.89984	BN
0.65949	-4.45823	27.9935	0.0204683	-0.335019	0.888317	4.84328	BN
0.717692	-5.41086	30.5194	-0.0479028	-0.224301	0.92123	4.82789	BN
0.52794	-6.29936	34.1686	-0.0240284	-0.251485	0.914974	4.80639	BN
0.377648	-7.87234	39.8915	-0.0252822	-0.269486	0.909737	4.77233	BN
-0.0208588	-12.1201	54.2311	-0.0149165	-0.285509	0.90504	4.68602	BN
-0.0776664	-13.2074	57.6778	0.068425	-0.270282	0.907535	4.66486	BN
0.667718	-16.1517	67.564	0.0206268	-0.292683	0.902959	4.60415	BN
0.71863	-16.8741	69.7928	-0.00408316	-0.412523	0.855128	4.59025	BN
0.700301	-18.726	73.6315	0.0160844	-0.347257	0.883516	4.56492	BN
0.975116	-24.6591	88.7271	0.0683581	-0.356638	0.877352	4.46809	BN
1.85344	-29.2415	100	0.0683581	-0.356638	0.877352	4.39779	Si
1.98495	-29.9276	101.688	-0.153945	-0.908282	0.27984	4.38413	Si
1.69575	-31.6339	102.214	-0.237942	-0.876136	0.329008	4.37076	Si
1.48675	-32.4035	102.503	-0.184442	-0.87894	0.360933	4.3645	Si
1.37013	-32.9592	102.731	-0.323286	-0.709201	0.611012	4.35998	Si
-0.487399	-37.0341	106.242	-0.319862	-0.7702	0.462874	4.31894	Si
-0.671619	-37.4777	106.508	-0.960743	-0.0592257	0.535768	4.31479	Si
-3.43432	-37.648	108.049	-0.964349	0.0162319	0.577176	4.2941	Si
-7.77174	-37.575	110.645	-0.962128	-0.061985	0.521926	4.26161	Si
-14.5419	-38.0112	114.317	-0.964387	-0.0279731	0.532528	4.21051	Si
-15.6976	-38.0447	114.956	-0.960342	-0.0336497	0.468244	4.20174	Si
-15.9218	-38.0525	115.065	-0.660191	-0.535714	-0.116692	4.20002	Si
-16.1669	-38.2515	115.022	-0.596891	-0.618411	-0.0971007	4.1973	Si
-16.4722	-38.5677	114.972	-0.513804	-0.672541	-0.133074	4.19355	Si
-16.7449	-38.9247	114.901	-0.548067	-0.67584	-0.0662573	4.18965	Si
-17.0776	-39.3349	114.861	-0.53511	-0.667718	-0.104582	4.18519	Si
-18.6198	-41.2593	114.56	-0.600376	-0.584534	-0.148511	4.16398	Si
-18.7498	-41.3859	114.527	-0.752169	-0.400199	-0.135703	4.16239	Si
-19.6584	-41.8693	114.364	-0.728721	-0.398627	-0.185265	4.15347	Si
-20.9219	-42.5605	114.042	-0.830882	-0.215116	-0.131978	4.14064	Si
-21.197	-42.6317	113.999	-0.798625	-0.227788	-0.224489	4.13819	Si
-22.6889	-43.0572	113.579	-0.774524	-0.383539	-0.0244654	4.12433	Si
-24.09	-43.751	113.535	-0.690216	-0.593406	0.297614	4.11089	Si
-25.05	-44.5764	113.949	-0.660317	-0.608853	0.249251	4.10052	Si
-28.1966	-47.4778	115.137	-0.654783	-0.60521	0.223521	4.06496	Si
-37.4264	-56.0088	118.287	-0.506797	-0.730884	0.185281	3.95909	Si
-38.1149	-57.0017	118.539	-0.516859	-0.720572	0.166833	3.94869	Si
-38.697	-57.8132	118.727	-0.56899	-0.695004	0.323419	3.94006	Si
-39.09	-58.2932	118.95	-0.575738	-0.691543	0.342321	3.93476	Si
-40.4784	-59.9609	119.776	-0.589782	-0.682581	0.370433	3.91622	Si
-44.9248	-65.1069	122.569	-0.570887	-0.694228	0.337032	3.85808	Si
-45.6311	-65.9658	122.986	-0.61428	-0.66251	0.395346	3.84844	Si
-47.3158	-67.7828	124.07	-0.643843	-0.62991	0.373882	3.82703	Si
-48.6212	-69.0599	124.828	-0.654332	-0.628518	0.427411	3.81113	Si
-49.9408	-70.3275	125.69	-0.594207	-0.682495	0.399079	3.79528	Si
-50.7948	-71.3084	126.263	-0.434269	-0.795811	0.311866	3.78394	Si
-50.9201	-71.538	126.353	-0.555026	-0.718992	0.332777	3.78167	Si
-51.8734	-72.7729	126.925	-0.570767	-0.706005	0.326799	3.76809	Si
-52.7958	-73.9139	127.453	-0.553941	-0.719085	0.324253	3.75528	Si
-52.8512	-73.9857	127.486	-0.518785	-0.745576	0.333673	3.75449	Si
-54.0171	-75.6614	128.235	-0.752362	-0.526881	0.570895	3.73663	Si
-55.4468	-76.6626	129.32	-0.778878	-0.492064	0.584027	3.72148	Si
-57.6924	-78.0813	131.004	-0.786802	-0.468036	0.557909	3.69843	Si
-62.6433	-81.0264	134.515	-0.691534	-0.587258	0.77778	3.6479	Si
-63.1453	-81.4526	135.079	-0.726527	-0.544136	0.840398	3.64202	Si
-66.7657	-84.1642	139.267	-0.618019	-0.669254	0.817486	3.60157	Si
-67.9685	-85.4666	140.858	-0.579138	-0.71419	0.756988	3.58565	Si
-68.286	-85.8582	141.273	-0.562499	-0.744444	0.621963	3.58115	Si
-68.9625	-86.7536	142.021	-0.583852	-0.732217	0.582471	3.57127	Si
-69.4804	-87.4031	142.538	-0.682584	-0.626509	0.709609	3.56397	Si
-70.8502	-88.6604	143.962	-0.53515	-0.765122	0.602562	3.54743	Si
-71.3516	-89.3772	144.526	-0.542433	-0.740126	0.677144	3.53968	Si
-73.7837	-92.6956	147.563	-0.53299	-0.757017	0.628671	3.50255	Si
-75.5654	-95.2262	149.664	-0.550066	-0.742543	0.63863	3.47467	Si
-79.5389	-100.59	154.277	-0.639939	-0.669711	0.617138	3.41406	Si
-79.5819	-100.635	154.319	-0.62668	-0.679204	0.552481	3.41349	Si
-88.3066	-110.091	162.011	-0.550251	-0.741598	0.465223	3.29524	Si
-91.0176	-113.745	164.303	-0.540978	-0.744458	0.506661	3.25235	Si
-91.1361	-113.908	164.414	-0.47358	-0.775467	0.570703	3.25042	Si
-91.678	-114.795	165.067	-0.443458	-0.815652	0.445992	3.24037	Si
-93.4328	-118.023	166.831	-0.216567	-0.941243	0.237994	3.20552	Si
-93.7725	-119.499	167.205	-0.79788	-0.501812	-0.069814	3.1916	Si
-94.3777	-119.88	167.152	-0.890391	-0.341634	-0.0469256	3.18485	Si
-96.8699	-120.836	167.02	-0.812741	-0.476211	-0.0863665	3.1599	Si
-98.8748	-122.011	166.807	-0.809442	-0.573987	0.394958	3.13779	Si
-103.682	-125.419	169.153	-0.800618	-0.597489	0.424581	3.08431	Si
-107.871	-128.546	171.375	-0.761576	-0.658888	0.470647	3.03662	Si
-117.718	-137.065	177.46	-0.752621	-0.674511	0.494586	2.91752	Si
-121.155	-140.146	179.719	-0.691692	-0.736964	0.494213	2.87428	Si
-129.685	-149.233	185.813	-0.753859	-0.653561	0.420332	2.75632	Si
-132.397	-151.585	187.325	-0.79616	-0.579242	0.3683	2.72091	Si
-132.901	-151.951	187.558	-0.879264	-0.49823	0.47335	2.71462	Si
-134.03	-152.591	188.166	-0.882708	-0.511895	0.515221	2.70186	Si
-142.495	-157.5	193.107	-0.858761	-0.520726	0.455656	2.60618	Si
-148.996	-161.442	196.556	-0.859499	-0.531282	0.481209	2.52878	Si
-152.812	-163.801	198.693	-0.805928	-0.551068	0.363161	2.48246	Si
-156.081	-166.036	200.166	-0.887776	-0.453395	0.434212	2.4396	Si
-156.334	-166.165	200.289	-0.88403	-0.445648	0.410112	2.43657	Si
-160.454	-168.242	202.201	-0.932008	-0.300874	0.372685	2.38672	Si
-162.731	-168.977	203.111	-0.889843	-0.406631	0.364496	2.36022	Si
-163.02	-169.109	203.23	-0.974702	-0.264395	0.479374	2.35667	Si
-164.594	-169.536	204.004	-0.959279	-0.31934	0.484347	2.339	Si
-165.054	-169.69	204.236	-0.958886	-0.339908	0.513154	2.33373	Si
-165.595	-169.881	204.526	-0.962449	-0.35992	0.560881	2.32753	Si
-167.396	-170.555	205.576	-0.903472	-0.408911	0.43162	2.30688	Si
-169.55	-171.529	206.604	-0.913703	-0.431934	0.518185	2.28044	Si
-170.029	-171.756	206.876	-0.918904	-0.442391	0.55754	2.27457	Si
-172.879	-173.128	208.605	-0.929153	-0.405294	0.534664	2.23985	Si
-173.131	-173.238	208.75	-0.933765	-0.272684	0.409687	2.23678	Si
-175.29	-173.868	209.697	-0.937029	-0.232261	0.379158	2.2106	Si
-176.865	-174.259	210.335	-0.934142	-0.161813	0.307061	2.19141	Si
-178.904	-174.612	211.005	-0.903102	0.27152	0.207622	2.16636	Si
-181.118	-173.947	211.514	-0.911978	0.271868	0.175051	2.13802	Si
-189.374	-171.485	213.099	-0.945673	0.229318	0.0810824	2.03242	Si
-189.511	-171.452	213.111	-0.920965	0.304225	0.0952558	2.03066	Si
-191.132	-170.917	213.278	-0.947034	0.306111	-0.0121688	2.00943	Si
