	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	54	72.3277	0	-0.0222892	3.09655	0.332782	(-13.0174,-5.23939,52.2118)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.0345925	-0.418077	0	0	0	1	2	BN
0.0345925	-0.418077	8.98084	-0.152098	-0.0227658	0.988103	1.90549	BN
-1.28101	-0.614995	17.5277	-0.137198	-0.117313	0.985302	1.81122	BN
-2.05844	-1.27975	23.1109	-0.229296	-0.0915456	0.926277	1.74716	BN
-2.24552	-1.35444	23.8666	-0.189473	-0.189144	0.918865	1.7377	BN
-2.26409	-1.37297	23.9566	-0.208573	-0.238138	0.87052	1.73656	BN
-2.35619	-1.47813	24.341	-0.100755	-0.408685	0.802753	1.73141	BN
-2.35806	-1.48572	24.3559	-0.0384301	-0.420498	0.802564	1.7312	BN
-2.43395	-2.31611	25.9408	-0.051677	-0.35903	0.831647	1.70814	BN
-2.76665	-4.62755	31.295	0.0421818	-0.340552	0.840555	1.63225	BN
-2.73774	-4.86091	31.871	0.0749051	-0.393103	0.814101	1.6239	BN
-2.57728	-5.70302	33.6149	-0.218149	-0.0715555	0.860016	1.59773	BN
-2.5978	-5.70975	33.6958	-0.233795	-0.0180958	0.872009	1.59656	BN
-2.85249	-5.72946	34.6458	-0.231714	0.133687	0.774776	1.58309	BN
-3.35269	-5.44087	36.3183	-0.20775	0.152389	0.783691	1.55623	BN
-4.8439	-4.34704	41.9435	-0.173246	0.224599	0.770468	1.46583	BN
-5.18245	-3.90814	43.4492	-0.312322	0.155534	0.740523	1.44016	BN
-7.56069	-2.72379	49.088	-0.363105	0.06248	0.72772	1.33889	BN
-9.00363	-2.47551	51.9799	-0.368307	-0.07361	0.767367	1.28327	BN
-10.9407	-2.86265	56.0158	-0.340587	-0.100879	0.650855	1.20748	BN
-11.482	-3.02298	57.0502	-0.315643	-0.185545	0.679225	1.18359	BN
-14.2273	-4.63678	62.9578	-0.406856	-0.0170432	0.648301	1.05107	BN
